Year,District,Area_,Area,Production_,Production,Yield_(tonnes/ha),NDVI,EVI,FAPAR,GPP,LAI,Rainfall,Temperature,SMI
2006,Junagadh,"3,74,000.00",3.74,"4,20,700.00",42.07,1.12,0.41343218,0.281942323,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2006,Rajkot,"4,02,200.00",4.02,"1,95,000.00",19.5,0.48,0.355166774,0.234590428,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2006,Amreli,"2,76,700.00",2.77,"1,13,400.00",11.34,0.41,0.418987925,0.27869401,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2006,Bhavnagar,"1,16,600.00",1.17,"1,42,700.00",14.27,1.22,0.383521637,0.255086887,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2007,Jamnagar,"3,48,400.00",3.48,"5,77,900.00",57.79,1.66,0.375907437,0.253353264,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2007,Junagadh,"3,83,400.00",3.83,"6,93,800.00",69.38,1.81,0.442751065,0.306405706,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2007,Rajkot,"3,82,400.00",3.82,"8,00,900.00",80.09,2.09,0.405527054,0.266509015,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2007,Amreli,"2,41,100.00",2.41,"4,27,700.00",42.77,1.77,0.416133747,0.274160982,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2007,Bhavnagar,"80,700.00",0.81,"1,38,700.00",13.87,1.72,0.40677612,0.269932985,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2008,Jamnagar,"3,90,600.00",3.91,"6,35,000.00",63.5,1.63,0.362957849,0.257585822,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2008,Junagadh,"4,04,300.00",4.04,"7,76,600.00",77.66,1.92,0.438173399,0.321570281,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2008,Rajkot,"3,82,600.00",3.83,"3,68,100.00",36.81,0.96,0.377414895,0.255974036,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2008,Amreli,"2,48,100.00",2.48,"1,15,400.00",11.54,0.47,0.415320967,0.283918723,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2008,Bhavnagar,"1,02,700.00",1.03,"1,13,500.00",11.35,1.11,0.385488027,0.266526694,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2009,Jamnagar,"3,87,000.00",3.87,"6,52,500.00",65.25,1.69,0.351637164,0.240252291,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2009,Junagadh,"3,97,900.00",3.98,"3,52,300.00",35.23,0.89,0.447305607,0.309496999,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2009,Rajkot,"3,66,500.00",3.67,"98,600.00",9.86,0.27,0.370142677,0.244193106,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2009,Amreli,"2,34,500.00",2.35,"38,800.00",3.88,0.17,0.389455812,0.25014939,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2009,Bhavnagar,"93,300.00",0.93,"59,200.00",5.92,0.63,0.352951065,0.231726139,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2010,Jamnagar,"3,68,700.00",3.69,"6,61,300.00",66.13,1.79,0.382205678,0.254542677,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2010,Junagadh,"4,02,100.00",4.02,"8,85,300.00",88.53,2.2,0.429352908,0.306017224,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2010,Rajkot,"3,06,200.00",3.06,"6,24,300.00",62.43,2.04,0.395072579,0.265851906,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2010,Amreli,"2,17,000.00",2.17,"3,75,400.00",37.54,1.73,0.41680967,0.287397139,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2010,Bhavnagar,"1,01,700.00",1.02,"2,11,700.00",21.17,2.08,0.399904492,0.278095823,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2011,Jamnagar,"3,08,900.00",3.09,"5,74,200.00",57.42,1.86,0.352073258,0.247892072,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
2011,Junagadh,"3,92,200.00",3.92,"6,95,600.00",69.56,1.77,0.388200222,0.293718809,3.178018446,17.65736286,0.716806314,75.49107664,247.3395237,7.129535723
2011,Rajkot,"2,72,600.00",2.73,"3,66,800.00",36.68,1.35,0.353961623,0.238383325,2.730902551,12.62879681,0.580709275,58.7914103,259.4099281,8.310619753
2011,Amreli,"1,05,900.00",1.06,"25,000.00",2.5,0.24,0.339817853,0.23087551,2.8095689,13.95940995,0.61128355,61.55397193,255.4509752,8.357045551
2011,Bhavnagar,"82,400.00",0.82,"83,500.00",8.35,1.01,0.337099166,0.239154936,2.75089987,13.13728157,0.588491823,64.48065743,252.5556559,7.433608488
2012,Jamnagar,"1,98,900.00",1.99,"15,600.00",1.56,0.08,0.224283095,0.140091386,2.432148785,13.17306885,0.507551603,53.79902944,260.5451848,13.50950436
